genus,species,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date
Staphylococcus,aureus,ERR2309567,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309568,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309569,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309570,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309571,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309572,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309573,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309574,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309575,Resistant,ERY,NA,8,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309576,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309577,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309578,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309579,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309580,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309581,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309582,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309583,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309584,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309585,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309586,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309587,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309588,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309589,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309590,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309591,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309592,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309593,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309594,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309595,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309596,Resistant,ERY,NA,8,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309597,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309598,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309599,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309600,Resistant,ERY,NA,8,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309601,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309602,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309603,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309604,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309605,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309606,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309607,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309608,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309609,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309610,Resistant,ERY,NA,8,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309611,Resistant,ERY,NA,8,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309612,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309613,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309614,Susceptible,ERY,NA,0.5,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Staphylococcus,aureus,ERR2309615,Intermediate,ERY,NA,1,mg/L,Broth dilution,VITEK 2,CLSI,2013,29729180,NA,Ireland,NA
Escherichia,coli,ERR2540223,Resistant,GEN,NA,64,mg/L,Broth dilution,NA,CLSI,2013,29951045,Slaughterhouse,Italy,NA
Escherichia,coli,ERR2540224,Resistant,GEN,NA,8,mg/L,Broth dilution,NA,CLSI,2013,29951045,Slaughterhouse,Italy,NA
Escherichia,coli,ERR2580149,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken rice,Singapore,NA
Escherichia,coli,ERR2580150,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580151,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Grilled fish,Singapore,NA
Escherichia,coli,ERR2580152,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken rice,Singapore,NA
Escherichia,coli,ERR2580153,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken rice,Singapore,NA
Escherichia,coli,ERR2580154,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken nasi briyani,Singapore,NA
Escherichia,coli,ERR2580155,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,29184361,Doner chicken sandwich,Singapore,NA
Escherichia,coli,ERR2580156,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580157,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580158,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken rice,Singapore,NA
Escherichia,coli,ERR2580159,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580160,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580161,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580162,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580163,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Soy-sauced chicken drumsticks,Singapore,NA
Escherichia,coli,ERR2580164,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken nasi briyani,Singapore,NA
Escherichia,coli,ERR2580165,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580166,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken nasi briyani,Singapore,NA
Escherichia,coli,ERR2580167,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken wing,Singapore,NA
Escherichia,coli,ERR2580168,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken kebab,Singapore,NA
Escherichia,coli,ERR2580169,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken rice,Singapore,NA
Escherichia,coli,ERR2580170,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Duck rice,Singapore,NA
Escherichia,coli,ERR2580171,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken rice,Singapore,NA
Escherichia,coli,ERR2580172,Susceptible,GEN,<=,2,mg/L,Broth dilution,NA,CLSI,2013,29184361,Chicken rice,Singapore,NA
Streptococcus,pneumoniae,ERR271785,Resistant,ERY,NA,8,mg/L,Broth dilution,NA,CLSI,2013,24957517,NA,Turkey,NA
Klebsiella,pneumoniae,ERR3164631,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164639,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164645,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164647,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164648,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164661,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164667,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164669,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164672,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164678,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164679,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164682,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164685,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164691,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164695,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164702,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164703,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164706,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164707,Susceptible,GEN,NA,2,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164709,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164714,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164718,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164720,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164723,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164726,Susceptible,GEN,NA,2,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164733,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164735,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164747,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164748,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164751,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164753,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164756,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164758,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164759,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164766,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164768,Susceptible,GEN,NA,2,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164771,Susceptible,GEN,NA,2,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164772,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164773,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164775,Intermediate,GEN,NA,4,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164777,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164778,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Klebsiella,pneumoniae,ERR3164780,Susceptible,GEN,<=,1,mg/L,Broth dilution,NA,CLSI,2013,33188415,NA,Italy,NA
Escherichia,coli,ERR3449876,Resistant,GEN,NA,32,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449877,Resistant,GEN,NA,32,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449878,Resistant,GEN,NA,16,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449879,Resistant,GEN,NA,16,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449880,Susceptible,GEN,NA,1,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449881,Resistant,GEN,NA,64,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449882,Susceptible,GEN,NA,1,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449883,Susceptible,GEN,NA,1,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449884,Resistant,GEN,NA,16,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449885,Resistant,GEN,NA,8,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449886,Susceptible,GEN,NA,1,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Escherichia,coli,ERR3449887,Susceptible,GEN,NA,1,mg/L,Broth dilution,NA,CLSI,2013,32122581,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349887,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,NA,NA
Neisseria,gonorrhoeae,ERR349889,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Cuba,NA
Neisseria,gonorrhoeae,ERR349891,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Cuba,NA
Neisseria,gonorrhoeae,ERR349897,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Ecuador,NA
Neisseria,gonorrhoeae,ERR349903,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,USA,NA
Neisseria,gonorrhoeae,ERR349904,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,USA,NA
Neisseria,gonorrhoeae,ERR349906,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,USA,NA
Neisseria,gonorrhoeae,ERR349910,Resistant,TET,NA,4,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349911,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349912,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349913,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349914,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349915,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349918,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Denmark,NA
Neisseria,gonorrhoeae,ERR349920,Resistant,TET,NA,128,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Denmark,NA
Neisseria,gonorrhoeae,ERR349921,Intermediate,TET,NA,1,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Denmark,NA
Neisseria,gonorrhoeae,ERR349922,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Denmark,NA
Neisseria,gonorrhoeae,ERR349924,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,France,NA
Neisseria,gonorrhoeae,ERR349928,Intermediate,TET,NA,1.5,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Greece,NA
Neisseria,gonorrhoeae,ERR349933,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Hungary,NA
Neisseria,gonorrhoeae,ERR349934,Intermediate,TET,NA,1.5,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Italy,NA
Neisseria,gonorrhoeae,ERR349936,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Norway,NA
Neisseria,gonorrhoeae,ERR349938,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Poland,NA
Neisseria,gonorrhoeae,ERR349943,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Spain,NA
Neisseria,gonorrhoeae,ERR349959,Intermediate,TET,NA,1,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Netherlands,NA
Neisseria,gonorrhoeae,ERR349961,Intermediate,TET,NA,1.5,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Turkey,NA
Neisseria,gonorrhoeae,ERR349964,Resistant,TET,NA,48,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Denmark,NA
Neisseria,gonorrhoeae,ERR349965,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349968,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR349970,Resistant,TET,NA,128,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Russia,NA
Neisseria,gonorrhoeae,ERR349973,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Russia,NA
Neisseria,gonorrhoeae,ERR349985,Resistant,TET,NA,128,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Bulgaria,NA
Neisseria,gonorrhoeae,ERR349986,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Denmark,NA
Neisseria,gonorrhoeae,ERR349988,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,France,NA
Neisseria,gonorrhoeae,ERR349990,Intermediate,TET,NA,1,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Germany,NA
Neisseria,gonorrhoeae,ERR349991,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Greece,NA
Neisseria,gonorrhoeae,ERR349994,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Poland,NA
Neisseria,gonorrhoeae,ERR349996,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Spain,NA
Neisseria,gonorrhoeae,ERR349998,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Spain,NA
Neisseria,gonorrhoeae,ERR350001,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Turkey,NA
Neisseria,gonorrhoeae,ERR350002,Resistant,TET,NA,3,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Turkey,NA
Neisseria,gonorrhoeae,ERR350003,Intermediate,TET,NA,0.75,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,United Kingdom,NA
Neisseria,gonorrhoeae,ERR350006,Susceptible,TET,NA,0.25,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Slovenia,NA
Neisseria,gonorrhoeae,ERR350007,Resistant,TET,NA,12,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Slovenia,NA
Neisseria,gonorrhoeae,ERR350011,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Norway,NA
Neisseria,gonorrhoeae,ERR350014,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Norway,NA
Neisseria,gonorrhoeae,ERR350015,Resistant,TET,NA,4,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Norway,NA
Neisseria,gonorrhoeae,ERR350019,Intermediate,TET,NA,1.5,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Estonia,NA
Neisseria,gonorrhoeae,ERR350022,Intermediate,TET,NA,0.75,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Belarus,NA
Neisseria,gonorrhoeae,ERR350023,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Belarus,NA
Neisseria,gonorrhoeae,ERR350027,Susceptible,TET,NA,0.016,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Belarus,NA
Neisseria,gonorrhoeae,ERR350028,Resistant,TET,NA,2,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Belarus,NA
Neisseria,gonorrhoeae,ERR350030,Intermediate,TET,NA,1,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Belarus,NA
Neisseria,gonorrhoeae,ERR350031,Susceptible,TET,NA,0.25,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Slovenia,NA
Neisseria,gonorrhoeae,ERR350032,Susceptible,TET,NA,0.125,mg/L,Disk diffusion,E-test,CLSI,2013,31358980,NA,Slovenia,NA
